AL	alabama
Ala.	alabama
AK	alaska
AZ	arizona
Ariz.	arizona
AR	arkansas
Ark.	arkansas
CA	california
Calif.	california
CO	colorado
Colo.	colorado
CT	connecticut
Conn.	connecticut
DE	delaware
Del.	delaware
FL	florida
Fla.	florida
GA	georgia
Ga.	georgia
HI	hawaii
ID	idaho
IL	illinois
Ill.	illinois
IN	indiana
Ind.	indiana
IA	iowa
KS	kansas
Kans.	kansas
KY	kentucky
Ky.	kentucky
LA	louisiana
La.	louisiana
ME	maine
Maine	maine
MD	maryland
Md.	maryland
MA	massachusetts
Mass.	massachusetts
MI	michigan
Mich.	michigan
MN	minnesota
Minn.	minnesota
MS	mississippi
Miss.	mississippi
MO	missouri
Mo.	missouri
MT	montana
Mont.	montana
NE	nebraska
Neb.	nebraska
Nebr.	nebraska
NV	nevada
Nev.	nevada
NH	new hampshire
N.H.	new hampshire
NJ	new jersey
N.J.	new jersey
NM	new mexico
N.Mex.	new mexico
NY	new york
N.Y.	new york
NC	north carolina
N.C.	north carolina
ND	north dakota
N.Dak.	north dakota
OH	ohio
OK	oklahoma
Okla.	oklahoma
OR	oregon
Ore.	oregon
Oreg.	oregon
PA	pennsylvania
Pa.	pennsylvania
RI	rhode island
R.I.	rhode island
SC	south carolina
S.C.	south carolina
SD	south dakota
S.Dak.	south dakota
TN	tennessee
Tenn.	tennessee
TX	texas
Tex.	texas
UT	utah
VT	vermont
Vt.	vermont
VA	virginia
Va.	virginia
WA	washington
Wash.	washington
WV	west virginia
W.Va.	west virginia
WI	wisconsin
Wis.	wisconsin
Wisc.	wisconsin
WY	wyoming
Wyo.	wyoming
AS	america samoa
FM	federated states of micronesia
GU	guam
MH	marshall islands
MP	northern mariana islands
PW	palau
PR	puerto rico
UM	US minor outlying islands
VI	virgin islands of the united states
